الهدف الرئيسي,الهدف الفرعي,الادارة المسؤولة,الانشطة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة الإدارية والتعاقدية وتوفيق أوضاع شركات الاستكشاف,إدارة الاستكشاف,فحص الإحداثيات وإعداد المقترحات والخرائط التعاقدية والفنية للمربعات ومواقع التعدين واعداد المقترحات  والتحديث المستمر لقاعدة البيانات المكانية والخارطة الفنية.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة والفنية وتقديم الدعم الفنى لشركات الإستكشاف,إدارة الاستكشاف,دراسة إجراءات الشركات  وإعداد المخاطبات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة والفنية وتقديم الدعم الفنى لشركات الإستكشاف,إدارة الاستكشاف,الرقابة الميدانية – الإلكترونية – التقارير الميدانية – الرقابة النوعية بالحاق كوادر فنية ذات كفاءة فنية فى الشركات.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة والفنية وتقديم الدعم الفنى لشركات الإستكشاف,إدارة الاستكشاف,دراسة وتحليل برامج العمل و قبولها أو رفضها وإصدار الشهادات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة والفنية وتقديم الدعم الفنى لشركات الإستكشاف,إدارة الاستكشاف,دراسة وتحليل التقارير الفنية والمالية الدورية ورصدها.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة والفنية وتقديم الدعم الفنى لشركات الإستكشاف,إدارة الاستكشاف,تقديم العروض الفنية للشركات ومساعدة الشركات المتعثرة وحثها على معاودة النشاط الإستكشافى.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,احكام الإشراف والرقابة والفنية وتقديم الدعم الفنى لشركات الإستكشاف,إدارة الاستكشاف,ترقية الشركات وفق تقدمها في العمل الفني
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تكملة وتحديث قاعدة البيانات الإدارية والتعاقدية والفنية  لشركات الإستكشاف,إدارة الاستكشاف,رصد وتحديث بيانات الملفات الإدارية لشركات الإستكشاف في قاعدة البيانات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تكملة وتحديث قاعدة البيانات الإدارية والتعاقدية والفنية  لشركات الإستكشاف,إدارة الاستكشاف,رصد وتحديث البيانات الفنية فى الخارطة الفنية لشركات الإستكشاف
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تكملة وتحديث قاعدة البيانات الإدارية والتعاقدية والفنية  لشركات الإستكشاف,إدارة الاستكشاف,إعداد الكتيبات والمشروعات والخرائط الفنية
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تكملة وتحديث قاعدة البيانات الإدارية والتعاقدية والفنية  لشركات الإستكشاف,إدارة الاستكشاف,اعداد الخطط وتقارير الأداء ومتابعة تنفيذ الانشطة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تكملة وتحديث قاعدة البيانات الإدارية والتعاقدية والفنية  لشركات الإستكشاف,إدارة الاستكشاف,ضبط المعاملات ورصد الأداء
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات الإمتياز المنتجة بنسبة 100%,ادارة الانتاج,إجازة كشوفات الاحتياجات للعام 2025م
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات الإمتياز المنتجة بنسبة 100%,ادارة الانتاج,تنفيذ الإعفاءات الجمركية والضريبية للشركات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات الإمتياز المنتجة بنسبة 100%,ادارة الانتاج,تنفيذ طلبات دخول وحركة الأجانب
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات الإمتياز المنتجة بنسبة 100%,ادارة الانتاج,تنفيذ طلبات الوقود
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات الإمتياز المنتجة بنسبة 100%,ادارة الانتاج,تنفيذ طلبات سلفيات وإسترداد المواد والشراء من السوق المحلي
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات الإمتياز المنتجة بنسبة 100%,ادارة الانتاج,تنفيذ إجراءات الرقابة الإجرائية والإدارية لضبط مدخلات الانتاج 
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إعداد وإعتماد لائحة الجزاءات الفنية,ادارة الانتاج,حصر البنود التي تناقش الأمور الفنية في القوانين والإتفاقيات والعقود واللوائح الخاصة بشركات الإنتاج
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إعداد وإعتماد لائحة الجزاءات الفنية,ادارة الانتاج,حصر الممارسات الفنية والإدارية بالمواقع التي تخالف أسس العمل
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إعداد وإعتماد لائحة الجزاءات الفنية,ادارة الانتاج,تشكيل لجنة لإعداد تصور مبدئي للائحة الجزاءات بالتنسيق مع الإدارات ذات الصلة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إعداد وإعتماد لائحة الجزاءات الفنية,ادارة الانتاج,عقد ورشة بمشاركة الجهات ذات الصلة لتنقيح اللائحة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إعداد وإعتماد لائحة الجزاءات الفنية,ادارة الانتاج,مخاطبة السيد/ وزير المعادن لمراجعة وإعتماد اللائحة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إعداد وإعتماد لائحة الجزاءات الفنية,ادارة الانتاج,عقد ورش لمنسوبي الإدارة بمواقع الإنتاج (المُشرفون الميدانيون) للتنوير ببنود اللائحة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إعداد وإعتماد لائحة الجزاءات الفنية,ادارة الانتاج,تنوير شركات الإنتاج باللائحة المعتمدة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات معالجة مخلفات التعدين التقليدي بنسبة 100%,ادارة الانتاج,إجازة كشوفات الاحتياجات للعام 2025م
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات معالجة مخلفات التعدين التقليدي بنسبة 100%,ادارة الانتاج,تنفيذ طلبات أذونات الإدخال لمُدخلات الإنتاج للشركات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات معالجة مخلفات التعدين التقليدي بنسبة 100%,ادارة الانتاج,تنفيذ طلبات الوقود
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات معالجة مخلفات التعدين التقليدي بنسبة 100%,ادارة الانتاج,تنفيذ طلبات سلفيات وإسترداد المواد والشراء من السوق المحلي
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إكمال و تنفيذ الرقابة الإجرائية والإدارية لمعاملات شركات معالجة مخلفات التعدين التقليدي بنسبة 100%,ادارة الانتاج,تنفيذ إجراءات الرقابة الإجرائية والإدارية لضبط مدخلات الانتاج 
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إحكام التنسيق والدعم الفني الموجه لإدخال عدد من شركات الإستكشاف المتقدمة والمحوله فنيا لمرحلة الإنتاج,ادارة الانتاج,متابعة دراسات الجدوى في مراحل محددة بالتنسيق مع إدارة التطوير بالإدارة العامة للإشراف والرقابة على شركات الإستكشاف
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إحكام التنسيق والدعم الفني الموجه لإدخال عدد من شركات الإستكشاف المتقدمة والمحوله فنيا لمرحلة الإنتاج,ادارة الانتاج,إستلام شركات الإمتياز المُتحصلة على عقود تعدين حديثة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,إحكام التنسيق والدعم الفني الموجه لإدخال عدد من شركات الإستكشاف المتقدمة والمحوله فنيا لمرحلة الإنتاج,ادارة الانتاج,المساهمة في وصول شركات الإمتياز المُقبلة لمرحلة الإنتاج
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير طرق واساليب الرقابة على أنشطة الإستخلاص بالتعدين التقليدي ,التعدين التقليدي,إنشاء سوق نموذجي في كل ولاية
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير طرق واساليب الرقابة على أنشطة الإستخلاص بالتعدين التقليدي ,التعدين التقليدي,إحكام الرقابة على الطواحين
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير طرق واساليب الرقابة على أنشطة الإستخلاص بالتعدين التقليدي ,التعدين التقليدي,تقنين أنشطة الإستخلاص
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير طرق واساليب الرقابة على أنشطة الإستخلاص بالتعدين التقليدي ,التعدين التقليدي,إحكام الرقابة على مستوردات الإستخلاص
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير طرق واساليب الرقابة على أنشطة الإستخلاص بالتعدين التقليدي ,التعدين التقليدي,إحكام الرقابة الرقمية على كل أنشطة التعدين التقليدي
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير طرق واساليب الرقابة على أنشطة الإستخلاص بالتعدين التقليدي ,التعدين التقليدي,تطوير وترقية الأداء الإداري
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,التنسيق في الإشراف و تقديم الدعم الاداري على تنفيذ خطط الإدارت الفنية  عبر هيكل الطوارئ في الولايات,التعدين التقليدي,الإشراف  والدعم الاداري  على تنفيذ خطة إدارة المسئولية المجتمعية
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,التنسيق في الإشراف و تقديم الدعم الاداري على تنفيذ خطط الإدارت الفنية  عبر هيكل الطوارئ في الولايات,التعدين التقليدي,الإشراف  والدعم الاداري  على تنفيذ خطة الإدارة العامة للبيئة والسلامة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,التنسيق في الإشراف و تقديم الدعم الاداري على تنفيذ خطط الإدارت الفنية  عبر هيكل الطوارئ في الولايات,التعدين التقليدي,الإشراف  والدعم الاداري  على تنفيذ خطة الإدارة العامة للإشراف والرقابة على شركات الصادر
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,التنسيق في الإشراف و تقديم الدعم الاداري على تنفيذ خطط الإدارت الفنية  عبر هيكل الطوارئ في الولايات,التعدين التقليدي,الإشراف  والدعم الاداري على تنفيذ خطة الإدارة العامة للإشراف والرقابة على شركات الإنتاج
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,التنسيق في الإشراف و تقديم الدعم الاداري على تنفيذ خطط الإدارت الفنية  عبر هيكل الطوارئ في الولايات,التعدين التقليدي,الإشراف  والدعم الاداري  على تنفيذ خطة الإدارة العامة للإشراف والرقابة على شركات الإستكشاف
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,التنسيق في الإشراف و تقديم الدعم الاداري على تنفيذ خطط الإدارت الفنية  عبر هيكل الطوارئ في الولايات,التعدين التقليدي,الإشراف  والدعم الاداري على تنفيذ خطة الإدارة العامة للإشراف والرقابة على شركات الإساكشاف
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير نطاق مناطق التعدين الصغير المنتج وزيادة الإنتاج والانتاجية,التعدين الصغير,جمع واعتماد خطط الاستكشاف للرخص (برامج عمل).
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير نطاق مناطق التعدين الصغير المنتج وزيادة الإنتاج والانتاجية,التعدين الصغير,رصد ومتابعة الأنشطة الاستكشافية (التقارير).
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير نطاق مناطق التعدين الصغير المنتج وزيادة الإنتاج والانتاجية,التعدين الصغير,تنفيذ مأموريات الرقابة والتفتيش. 
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير نطاق مناطق التعدين الصغير المنتج وزيادة الإنتاج والانتاجية,التعدين الصغير,تقديم الدعم الفني للشركات (الاجتماعات).
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تطوير نطاق مناطق التعدين الصغير المنتج وزيادة الإنتاج والانتاجية,التعدين الصغير,تنفيذ ومتابعة إجراءات الشركات.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,ضبط حركة مُدخلات الإنتاج لشركات الامتياز المنتجة ومعالجة المخلفات,ادارة الانتاج,الرقابة الإجرائية والإدارية على السلفيات والإسترداد
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,ضبط حركة مُدخلات الإنتاج لشركات الامتياز المنتجة ومعالجة المخلفات,ادارة الانتاج,الرقابة الإجرائية والإدارية على الإعفاءات وأذونات التخليص
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,ضبط حركة مُدخلات الإنتاج لشركات الامتياز المنتجة ومعالجة المخلفات,ادارة الانتاج,الرقابة الإجرائية والإدارية على الوقود
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,ضبط حركة مُدخلات الإنتاج لشركات الامتياز المنتجة ومعالجة المخلفات,ادارة الانتاج,الرقابة الإجرائية والإدارية على الشراء من السوق المحلي
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تقديم الدعم والخدمات القانونية لأنشطة الشركة..,الادارة القانونية,حوسبة العمل وإنشاء نظام إلكتروني وعمل أرشيف إلكتروني.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تقديم الدعم والخدمات القانونية لأنشطة الشركة..,الادارة القانونية,تجميع وتنقيح والطباعة الورقية والالكترونية لكافة التشريعات المنظمة لعمل النشاط التعديني وتغطية القصور التشريعي الذي يتضح من خلال تطبيق التشريعات.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تقديم الدعم والخدمات القانونية لأنشطة الشركة..,الادارة القانونية,إبداء الرأي القانوني في المسائل التي تحال للإدارة القانونية.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تقديم الدعم والخدمات القانونية لأنشطة الشركة..,الادارة القانونية,متابعة الدعاوي في مواجهة الشركة أو ضد الآخرين لحماية مربعات الشركات من التعديات. .
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تقديم الدعم والخدمات القانونية لأنشطة الشركة..,الادارة القانونية,التوصية بالمراجعة الدورية للاتفاقيات والعقود في مجال النشاط التعديني لموائمتها مع القوانين واللوائح والتشريعات السارية.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تقديم الدعم والخدمات القانونية لأنشطة الشركة..,الادارة القانونية,توجيه الإنذارات الجهات المرخص لها والتي لديها مخالفات إدارية أو مالية أو بيئية.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,تقديم الدعم والخدمات القانونية لأنشطة الشركة..,الادارة القانونية,توثيق العقود التي تكون طرفها الشركة.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وتحليل ومعالجة المخالفات الفنية والمالية والادارية المتعلقة بقطاع التعدين وتوثيقها ,المخالفات,دراسة  المخالفات المتعلقة بالشركات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وتحليل ومعالجة المخالفات الفنية والمالية والادارية المتعلقة بقطاع التعدين وتوثيقها ,المخالفات,دراسة المخالفات المتعلقة بالتعدين التقليدي
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وتحليل ومعالجة المخالفات الفنية والمالية والادارية المتعلقة بقطاع التعدين وتوثيقها ,المخالفات,دراسة المخالفات المتعلقة بجوانب البيئة والسلامة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وتحليل ومعالجة المخالفات الفنية والمالية والادارية المتعلقة بقطاع التعدين وتوثيقها ,المخالفات,تحليل وتقييم المعالجات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وتحليل ومعالجة المخالفات الفنية والمالية والادارية المتعلقة بقطاع التعدين وتوثيقها ,المخالفات,متابعة تنفيذ إزالة المخالفات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وتحليل ومعالجة المخالفات الفنية والمالية والادارية المتعلقة بقطاع التعدين وتوثيقها ,المخالفات,رصد الديون المتعثرة للشركات.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وتحليل ومعالجة المخالفات الفنية والمالية والادارية المتعلقة بقطاع التعدين وتوثيقها ,المخالفات,تعزيزالايرادات عبر التحصيل من المخالفات.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وتحليل ومعالجة المخالفات الفنية والمالية والادارية المتعلقة بقطاع التعدين وتوثيقها ,المخالفات,وضع الخطط لحماية المتضررين من التعديات الواقعة على المواقع والمربعات.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وتحليل ومعالجة المخالفات الفنية والمالية والادارية المتعلقة بقطاع التعدين وتوثيقها ,المخالفات,تنفيذالمأموريات وكتابة التقارير المتعلقة بالمخالفات.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وتحليل ومعالجة المخالفات الفنية والمالية والادارية المتعلقة بقطاع التعدين وتوثيقها ,المخالفات,الاستفادة من الدروس والعبر لتفادي المخالفة المشاركة في ور
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,دراسة الجوانب القانونية للمخالفات وإتخاذ القرارات الفعالة لإزالتها ,المخالفات,"وضع الاطار القانوني  المناسب للمخالفة.
"
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,دراسة الجوانب القانونية للمخالفات وإتخاذ القرارات الفعالة لإزالتها ,المخالفات,المشاركة في وضع اللوائح والجزاءات القانونية
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,دراسة الجوانب القانونية للمخالفات وإتخاذ القرارات الفعالة لإزالتها ,المخالفات,وضع برنامج عمل مناسب لإزالة المخالفة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,دراسة الجوانب القانونية للمخالفات وإتخاذ القرارات الفعالة لإزالتها ,المخالفات,متابعة وتنفيذ وتاكيد إزالة المخالفة
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,دراسة الجوانب القانونية للمخالفات وإتخاذ القرارات الفعالة لإزالتها ,المخالفات,تحديد المهام والمسؤولبات والمدي الزمني لإزالة المخالفات.
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,دراسة الجوانب القانونية للمخالفات وإتخاذ القرارات الفعالة لإزالتها ,المخالفات,رفع برنامج  التوصيات الدوري بخصوص  المخالفات الي المدير العام
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,دراسة الجوانب القانونية للمخالفات وإتخاذ القرارات الفعالة لإزالتها ,المخالفات,توثيق الدروس المستفادة من معالجة المخالفات
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وإزالة المعوقات و المهددات الامنية بقطاع التعدين,امن واقتصاديات المعادن,الحد من التعديات علي الشركات العاملة في القطاع 
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وإزالة المعوقات و المهددات الامنية بقطاع التعدين,امن واقتصاديات المعادن,تعزيز الاحاطة علي حركة الذهب المنتج
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وإزالة المعوقات و المهددات الامنية بقطاع التعدين,امن واقتصاديات المعادن,إسناد الشركة في معالجة القضايا التي تعيق سير عملها الرقابي والاشرافي
إحكام  وتطوير الاشراف والرقابة علي قطاع التعدين,رصد وإزالة المعوقات و المهددات الامنية بقطاع التعدين,امن واقتصاديات المعادن,رصد وتقييم المخاطر والمهددات التي تواجه قطاع التعدين 
إدارة وتطوير نظم وأساليب العمل بالشركة,متابعة وتحليل وتقييم الاداء التشغيلي للشركة وفق الخطط المجازة للعام 2025م,التخطيط, اعداد تقارير الاداء الدورية 
إدارة وتطوير نظم وأساليب العمل بالشركة,متابعة وتحليل وتقييم الاداء التشغيلي للشركة وفق الخطط المجازة للعام 2025م,التخطيط,استلام معوقات الاداء من الادارات  العامة  ومراجعتها وتنقيحها ووضع الحلول اللازمة لها
إدارة وتطوير نظم وأساليب العمل بالشركة,متابعة وتحليل وتقييم الاداء التشغيلي للشركة وفق الخطط المجازة للعام 2025م,التخطيط,استلام تقارير الاداء من الادارات العامة وتقييمها
إدارة وتطوير نظم وأساليب العمل بالشركة,متابعة وتحليل وتقييم الاداء التشغيلي للشركة وفق الخطط المجازة للعام 2025م,التخطيط,تحليل التقارير وتحديد الانحرافات  الخاصة بتنفيذ خطة الاداء للعام 2025م
إدارة وتطوير نظم وأساليب العمل بالشركة,متابعة وتحليل وتقييم الاداء التشغيلي للشركة وفق الخطط المجازة للعام 2025م,التخطيط,إعداد وصياغة الخطة العامة للشركة للعام 2026م
إدارة وتطوير نظم وأساليب العمل بالشركة,جمع المعلومات والاحصاءات و إجراء التحاليل الاحصائية وعمل المؤشرات اللازمة.,التخطيط,جمع إحصائيات الانتاج  والايرادات مؤشرات الرقابة لمختلف قطاعات الشركة
إدارة وتطوير نظم وأساليب العمل بالشركة,جمع المعلومات والاحصاءات و إجراء التحاليل الاحصائية وعمل المؤشرات اللازمة.,التخطيط,دراسة قياس مستوي الرضا الداخلي والخارجي
إدارة وتطوير نظم وأساليب العمل بالشركة,جمع المعلومات والاحصاءات و إجراء التحاليل الاحصائية وعمل المؤشرات اللازمة.,التخطيط,التنبؤات الاحصائية للانشطة التعدينية
إدارة وتطوير نظم وأساليب العمل بالشركة,جمع المعلومات والاحصاءات و إجراء التحاليل الاحصائية وعمل المؤشرات اللازمة.,التخطيط,تصميم الاستبانات وتحليلها
إدارة وتطوير نظم وأساليب العمل بالشركة,جمع المعلومات والاحصاءات و إجراء التحاليل الاحصائية وعمل المؤشرات اللازمة.,التخطيط,النشرة الاحصائية السنوية (مقارنات +تحليل)
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,تحسين  نظام عمليات الشركة حسب وضع هيكل الطوارئ المتبع
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,مراجعة العمليات وتطويرها حسب الوضع الحالي
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,مراجعة  وتحليل مؤشرات قياس الاداء
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,تحليل حالات عدم المطابقة المكتشفة
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,تحليل شكاوى ومقترحات العملاء
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,تنفيذ مخرجات اجتماع مراجعه  الادارة
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,تفعيل فرق التحسين بالادارات
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,التدقيق الداخلي والخارجي للنظام
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,نشر ثقافة الجودة لجميع العاملين
إدارة وتطوير نظم وأساليب العمل بالشركة,المحافظة علي شهادة الايزو الممنوحة من خلال بتطوير وتحسين فاعلية الاداء بالشركة بنسبة 100%,التخطيط,ضبط الوثائق الداخلية للنظام 
إدارة وتطوير نظم وأساليب العمل بالشركة,إكمال البنية التحتية للشبكة,التخطيط,حصر الاحتياجات التقنية والمعدات المطلوبة لإكمال البنية التحتية للشبكة 
إدارة وتطوير نظم وأساليب العمل بالشركة,إكمال البنية التحتية للشبكة,التخطيط,تكملة تحديد المواصفات المطلوبة للأجهزة 
إدارة وتطوير نظم وأساليب العمل بالشركة,إكمال البنية التحتية للشبكة,التخطيط,شراء المعدات والاجهزة المطلوبة
إدارة وتطوير نظم وأساليب العمل بالشركة,إكمال البنية التحتية للشبكة,التخطيط,تأسيس موقع درء الكوارث
إدارة وتطوير نظم وأساليب العمل بالشركة,إكمال البنية التحتية للشبكة,التخطيط,تقديم الدعم الفني والتقني 
إدارة وتطوير نظم وأساليب العمل بالشركة,حماية الشبكة وتأمين معلومات الشركة,التخطيط,التكامل مع نظام ايزو 270001 (ادارة امن المعلومات)
إدارة وتطوير نظم وأساليب العمل بالشركة,حماية الشبكة وتأمين معلومات الشركة,التخطيط,حماية الشبكة من خلال تشغيل اجهزة الجدار الناري fire wall
إدارة وتطوير نظم وأساليب العمل بالشركة,حماية الشبكة وتأمين معلومات الشركة,التخطيط,تفعيل مضادات الفيروسات
إدارة وتطوير نظم وأساليب العمل بالشركة,حماية الشبكة وتأمين معلومات الشركة,التخطيط,حماية التطبيقات التقنية للشركة
إدارة وتطوير نظم وأساليب العمل بالشركة,حماية الشبكة وتأمين معلومات الشركة,التخطيط,حماية وتأمين الموقع الالكتروني
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تكامل الانظمة الفنية (تكامل نظام المصفاة – نظام الصادر – الادارة المالية )
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تطوير الانظمة القياسية ( نظام الادارة المالية + انظمة الشؤون الادارية)
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تطوير التقارير الذكية ( مالية + ادارية + تقارير عامة)
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تطوير نظام تقارير الاداء والخطة 
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تطوير الموقع الالكتروني ( بحوث تخدم اهداف الشركة + ربط الموردين ومذودي الخدمات والعملاء ..الخ)
إدارة وتطوير نظم وأساليب العمل بالشركة,توفير وتطوير الانظمة لأصحاب المصلحة,التخطيط,تطوير نظام الأرشفة والتقارير وبيانات الخاصة بشركات الامتياز المنتجة والمخلفات
إدارة وتطوير نظم وأساليب العمل بالشركة,إدارة إجراءات المُشرفين الميدانيين وتطوير أداؤهم,ادارة الانتاج,تقديم الدعم اللوجستي والإداري للمُشرفين الميدانيين
إدارة وتطوير نظم وأساليب العمل بالشركة,إدارة إجراءات المُشرفين الميدانيين وتطوير أداؤهم,ادارة الانتاج,إجراءات تأمين مراحل إنتاج الذهب
إدارة وتطوير نظم وأساليب العمل بالشركة,إدارة إجراءات المُشرفين الميدانيين وتطوير أداؤهم,ادارة الانتاج,تأهيل وتطوير المشرفين الميدانيين
إدارة وتطوير نظم وأساليب العمل بالشركة,إدارة إجراءات المُشرفين الميدانيين وتطوير أداؤهم,ادارة الانتاج,تحديث دليل المُشرف الميداني
