الاسم العربي:,الاسم باللغة الانجليزية,الجنسية:,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:,,
ليجند تورنادو للحلول المتكاملة المحدودة,Legend Tornado Integrated Solutions Ltd.,سودانية,,,,,,,,منتهية,ب م,
ماس قروب للاعمال المتعددة المحدودة,MAS GROUB FOR ADVANCE BUSINESS CO. LTD,سودانية,الخرطوم,,راشد فاروق هباني ,0912312701/0016132658002,جمعة عبدالله حامد,(91) 231-2701,jumaa.abdaliahmid@gmail.com,منتهية,ب م,
ماينينق تكنولوجي للتعدين,Mining Technology for Mining,سودانية,,,,,,,,منتهية,ب م,
مروج للتعدين,Morouj for mining,سودانية,,,,,,,,منتهية,ب م,
مسمار للتعدين,Mosmar for mining,سودانية,,,,,,,,منتهية,ب م,
مطايا للأنشطة المتعددة,Mataya for multiple activities,سودانية,,,,,,,,منتهية,ب م,
معالم للتعدين,Maalem for mining,سودانية,,,,,,,,منتهية,ب م,
مناتيا للأنشطة المتعددة,Manatia Multi-Activity,سودانية,,,,,,,,منتهية,ب م,
مناره كدوكول للأنشطة المتعددة,Manarat Kadoukul  for Multiple Activities,سودانية,,,,,,,,منتهية,ب م,
منيسوتا للتعدين,Minnesota Mining,سودانية,,,,,,,,منتهية,ب م,
مونتريال الشمال الزراعية المحدودة,"Montreal North Agricultural Co., Ltd.",سودانية,,,,,,,,منتهية,ب م,
ميرف للتعدين,Merv Mining,سودانية,,,,,,,,منتهية,ب م,
ناريوا للتعدين,NARYWA FOR MINING & INVESTMENT LTD,سودانية,,,,,,,,منتهية,ب م,
نايل تان للمشاريع المتطورة,Nile Tan For Advanced Projects,سودانية,,,,,,,,منتهية,ب م,
نزوى للتعدين,Nizwa Mining,سودانية,,,,,,,,منتهية,ب م,
نصاب للتعدين,Nisab Mining,سودانية,,,,,,,,منتهية,ب م,
هاش للتعدين,Hash Mining,سودانية,,,,,,,,منتهية,ب م,
هايباتكو للتنمية والخدمات المحدودة,"Haypatco Development & Services Co., Ltd.",سودانية,,,,,,,,منتهية,ب م,
هايتند للانشطة المتعددة المحدودة,Hitend Multi Activities Ltd,سودانية,,,,,,,,منتهية,ب م,
هبرم لتعدين الذهب,Haberam Gold Mining,سودانية,,,,,,,,منتهية,ب م,
هجو للتعدين,Hajo Mining,سودانية,,,,,,,,منتهية,ب م,
وادي الروضة للأعمال,Al Rawda Business Valley,سودانية,,,,,,,,منتهية,ب م,
ود العاسبيدو,WAD ALASBEDO,سودانية,,,,,,,,منتهية,ب م,
ود الكرف للانشطة المتعددة المحدودة,wadalkaraf Multi-Activites C0.Ltd,سودانية,عمارة الصباح مكتب رقم 3,,ناصر محمد يعقوب اسحاق,912313481- 0097150747293,مهاب كمال عثمان,9111117228,myshaddad@hotmail.com,سارية,ب م,
ود درقي للتعدين,Wad Daragi Mining,سودانية,,,,,,,,منتهية,ب م,
وديدة للتعدين,wadida for mining ,سودانية,الخرطوم شارع الستين  مع عبدالله الطيب,,كمال ابراهيم محمد ,(92) 637-7777,محمد بخيت محمد ,(90) 094-0091,wadida22@gmail.com,منتهية,ب م,
وقر للتعدين,WAGGER FOR MINING,سودانية,,,,,,,,منتهية,ب م,
وميض للأعمال المتقدمة,Wameedh for advanced business,سودانية,,,,,,,,منتهية,ب م,
وي لينك للأنشطة المتعددة,WeLink for multi-activity,سودانية,,,,,,,,منتهية,ب م,
ويسترن للتجارة,WESTRON FOR TREDING,سودانية,,,,,,,,منتهية,ب م,
