الاسم العربي:,الاسم الانجليزي:,الجنسية:,الولاية,المحلية,العنوان:,الموقع الالكتروني:,اسم المدير:,تلفون المدير:,اسم ممثل الشركة:,تلفون ممثل الشركة:,البريد الالكتروني الرسمي:,الحالة:
شركة البراح المحدودة,شركة البراح المحدودة,سودانية,البحر الاحمر,جبيت,الحرطوم _ بحري _ كافوري,,الرشيد محمد الطاهر,123354371,ادم إبراهيم عبد الرحمن,912372332,,متعثرة
شركة كفاءة للانشطة المتعددة,Kafaa h multi activities co. LT,سودانية,القضارف,البطانة,الخرطوم – ام درمان – شارع العرضة جنوب القسم الأوسط,القضارف الصباغ,محمد فضل المولى,912328370-0912306388,طه محمد فضل المولى,912371746,tahamfm@gmail.com,منتجة
اعمال المجموعة الدولية للتعدين 1,the implementation of the international group,سودانية,القضارف,البطانة,عطبرة شارع كسلا,,عادل عبداللطيف سر الختم- ,123655595-0912355390,ابوزيد حمد عيسى,91887771,Globalgroup201@gmail.com,منتجة
شركة نوارن تو,Noran tow mining company,سودانية,البحر الاحمر,جبيت,الخرطوم _ بحري ,,محمد عثمان حسن,09122263919-0912466550,ريهام عبدالرحمن,916569306,noran2@gmail.com,منتجة
شركة تنامي للتعدين,Tanami mining co LT,سودانية,النيل الازرق,باو,الدمازين حى الرياض,www.tanamiminingco.ltd.com,عبدالله جعفر محمد احمد,960733198-0915467036,هاشم احمد بله,915467036,,منتجة
اعمال المجموعة الدولية للتعدين,the implementation of the international group,سودانية,البحر الاحمر,جبيت,الخرطوم,,عادل لطفي نصر,12366443,م.محمد عبدالله محمد,993685962 \ 900043772,Globalgroup201@gmail.com,منتجة
ابوعمرو للتعدين,ابوعمرو للتعدين,سودانية,البحر الاحمر,جبيت,_,,_,_,_,_,,ملغية
انترنت العالمية للتجارة والترحيل,Internet international trade & transport co,سودانية,البحر الاحمر,جبيت,الخرطوم,,حسين سيد قطان,912202896,خالد احمد عبدالودود,917048480 \ 0912363370,Ittco@hotmail.com,منتجة
جلجال للتعدين,جلجال للتعدين,سودانية,كسلا,تلكوك,كسلا المرغنية,,هيام عثمان على,912549747,الزبير عبدالله نمر,912951447,,منتجة
بان قلف للأنشطة المتعددة المحدودة,Pangulf mining,سودانية,البحر الاحمر,القنب والاوليب,عطبرة,www.hplus-sd.com,نور الله محمد زين,(+249)-912317353- 0121401744,حسن بكرى,912439262,pangulf-sd@gmail.com,منتجة
العنود للتعدين,العنود للتعدين,سودانية,النيل الازرق,بلقوة,,,حاتم عثمان بابكر ,,0,,,منتجة
شركة APG للتعدين المحدودة,APG  for mining,سودانية,البحر الاحمر,جبيت,الخرطوم,,حاتم,916400555,عمير سوركتي,119999401,,منتجة
شكير للتعدين,Shakir mining,سودانية,البحر الاحمر,هيا,,,عثمان عصام,912604140,عثمان عصام,912604140,Shakir.mining309@gmail.com,منتجة
شركة قولدن إيرث للتعدين و الإستثمار,Golden earth for mining & invistment ,سودانية,البحر الاحمر,هيا,الخرطوم,,اسعد حسب الرسول ابراهيم,912308423,,,,مقبلة
شركة اتش اند ام باور للهندسة والإنشاءات والتجارة المحدودة,H@M for engineering cons &trad,سودانية,البحر الاحمر,القنب والاوليب,بحرى كافورى مربع 11 - مبنى رقم 55 الطابق الاول- شقة2,"
",محمد عمر عبدالسلام,912303131-912364794-0912350937,عبدالعزيز,0914217317-0912361716,handm.power4444@gmail.com,منتجة
شركة ملكن للتعدين المحدودة,شركة ملكن للتعدين المحدودة,سودانية,النيل الازرق,بكوري,0,0,0,0,0,,,تحت التأسيس
شركة النجم الساطع للتعدين المحدودة,Alnageen alsatie mining co. LTD,سودانية,البحر الاحمر,هيا,الخرطوم 2 شرق شارع 43 عمارة ماجستك الطابق 2 الشقة 3,,على خليفة على,912307226,محمد فضل محمد فضل,911111126,,مقبلة
شركة عكاشة للتعدين المحدودة,شركة عكاشة للتعدين المحدودة,سودانية,البحر الاحمر,القنب والاوليب,_,,_,_,_,_,,تحت التأسيس
شركة وادي الدموك للأنشطة المتعددة المحدودة,Wadi al damuk multi activities,سودانية,القضارف,البطانة,حلفا الجديدة,,عبدالله محمد احمد,912349925-0912338909,محمد ميرغنى,0912338909-0919697927,wadi.Eldamuk@gmail.om,منتجة
مودرن لوجستيك للمشاريع المتطورة المحدودة(مشروع001),Project(001),سودانية,البحر الاحمر,القنب والاوليب,,,تتبع لوزارة المعادن,123247654,محمد بادى,965287758,,منتجة
مامور كومرا للانشطة المتعددة,Mamor comra multi activities,سودانية,القضارف,قلع النحل,القضارف ديم النور,,عبدالحكيم مأمور,999999689-0912323408,ادم موسى,961031211,Gedo_mazin@hotmail.com,منتجة
إسفير للتعدين المحدودة,Esphir mining company LT,سودانية,البحر الاحمر,درديب,بورتسودان السوق الكبير,,محمد عدلان,912301802,خالد عوض السيد,914625500-0912258122,Esphir2012@yahoo.com,منتجة
شركة هيمنة توب المحدودة,شركة هيمنة توب المحدودة,سودانية,النيل الازرق,ود الماحى,,,سامى الرشيد,912486451,سحر الامين,121139080,,منتجة
سهل البطانة للتعدين,سهل البطانة للتعدين,سودانية,القضارف,البطانة,القضارف,,حسين على احمد,123442413-0912313381,محمد احمد عبد القادر,965364966-0905902316,mohammed4337@gmail.com,منتجة
شركة ام ايه جي للتعدين,شركة ام ايه جي للتعدين,سودانية,البحر الاحمر,القنب والاوليب,,,0,0,0,,,تحت التأسيس
شركة شنكو العالمية المحدودة,شركة شنكو العالمية المحدودة,سودانية,النيل الازرق,قيسان,,,0,0,0,,,تحت التأسيس
شركة دلو للتجارة و المقاولات المحدودة,شركة دلو للتجارة و المقاولات المحدودة,سودانية,البحر الاحمر,جبيت,,,الهادى,115827471,الهادى,115827471,,تحت التأسيس
شركة مبروك للتعدين,شركة مبروك للتعدين,سودانية,البحر الاحمر,جبيت,,,0,0,0,,,متعثرة
شركة بانة لمعالجة مخلفات التعدين التقليدي,Banh to treat tradition mining,سودانية,البحر الاحمر,عقيق,بورتسودان السوق الكبير,,عبدالمطلب محمد على,0912310674-912695383,الجيلي إدريس,911107120,khalifasami693@gmail.com,منتجة
شركة لوك اوت للانشطة المتعددة المحدودة ( اعمال النترة للتعدين ),شركة لوك اوت للانشطة المتعددة المحدودة ( اعمال النترة للتعدين ),سودانية,البحر الاحمر,القنب والاوليب,بورتسودان,,0,0,0,,,تحت التأسيس
شركة فيرست موتورز للخدمات التجارية,شركة فيرست موتورز للخدمات التجارية,سودانية,البحر الاحمر,القنب والاوليب,الخرطوم _ المجاهدين,,محمد حسن مضوي,0,رزان,905332827,,تحت التأسيس
شركة  برايت استون العالمية,Bright aston international CO. LTD,سودانية,البحر الاحمر,جبيت,عطبرة,,عصام ابراهيم بشير,912330184,مصطفى محمد احمد,912313208,wedketer82@gmail.com,تحت التأسيس
شركة التمر للانشطة المتعددة المحدودة,Altamr multiple activities. LTD,سودانية,البحر الاحمر,جبيت,بورتسودان - ترانزيت - جوار المستشفى,,محمد ابراهيم بخيت,912301119-0123976312,محمد يوسف احمد,912323849-0913450140,ALtamr2024@gmail.com,منتجة
شركة كاسكو للطاقة المتجددة المحدودة,Casco renewable  energy co,سودانية,البحر الاحمر,القنب والاوليب,بورتسودان - حى ديم مدينة - مربع 11,,محمد ابشر محمد الطاهر,0995196524-0923483369,عثمان الزين,112076269,info@cascomining.com,تحت التأسيس
شركة أعناب للتعدين,Aanab for mining,سودانية,البحر الاحمر,القنب والاوليب,بحرى كافورى مربع 11 - مبنى رقم 55 الطابق الاول- شقة2,,فضل المولى احمد,0912639393-0916780601,محمد ابراهيم,125666371-0918220601,Aradeebtrading@gmail.com,منتجة
شركة كفاءة للتعدين,Kafaa h FOR MINING,سودانية,البحر الاحمر,هيا,ابو حمد,,الامين عثمان الامين عبدالسلام,912312428,الامين عثمان الامين عبدالسلام,912312428,,تحت التأسيس
شركة اكولايزر للانشطة المتعددة المحدودة,شركة اكولايزر للانشطة المتعددة المحدودة,سودانية,البحر الاحمر,جبيت,0,,0,0,0,,,تحت التأسيس
شركة  أمواج البحر الاحمر,شركة  أمواج البحر الاحمر,سودانية,البحر الاحمر,القنب والاوليب,0,,د.عفاف,0,أبو عاقله,912317030,,تحت التأسيس
شركة نما للانشطة المتعددة المحدودة,شركة نما للانشطة المتعددة المحدودة,سودانية,البحر الاحمر,درديب,0,,الطيب العطا الطيب,912300010,عزام,966191670,,تحت التأسيس
شركة ابو ضراع للتجارة و الخدمات المحدودة,شركة ابو ضراع للتجارة و الخدمات المحدودة,سودانية,القضارف,البطانة,0,,0,0,0,,,تحت التأسيس
شركة الأبنوس للاستيراد و التصدير,AL abnous  import & export,سودانية,البحر الاحمر,درديب,بوريسودان- السوق عمارة موسى الطابق الاول,,الجيلى حسين طه,0912367004-0920000096,طارق حاج حمد ,912367004,ayed-ganoub@yahoo.com,مقبلة
شركة ايات لخدمات حقول البترول المحدودة,Eyat mining,سودانية,النيل الازرق,قيسان,الخرطوم العمارات - شارع 47,,عماد الدين فضل المولى,122233991,عماد الدين فضل المولى,90256668,,منتجة
شركة الادهم للتعدين,Adham for mining,سودانية,النيل الازرق,ود الماحى,الدمازين حى المطار,,حذيفة عبدالله ابراهيم ,912326600,حذيفة عبدالله ابراهيم ,912326600,,تحت التأسيس
شركة العمدة تقيل للتعدين,شركة العمدة تقيل للتعدين,سودانية,النيل الازرق,ود الماحى,الدمازين حى المطار,,ابو عاقلة قسم الله ,91236600,عبير بشير عثمان,913132746,,تحت التأسيس
شركة واست للتعدين,شركة واست للتعدين,سودانية,البحر الاحمر,القنب والاوليب,بورتسودان غرب وزارة السياحة,,بشارة بولاى ريهين ,912323892,عببدالله بولاى ريهين ,128969269,,تحت التأسيس
شركة اسكاى موتور للتجارة والاستثمار المحدودة,Sky motor for trading& investement co LTD,سودانية,البحر الاحمر,دورديب,بورسودان عمارة الكارس,,محى الدين جمعة,912323892-128969269,محى الدين ادم جمعة ,123424550-0912382086,,تحت التأسيس
شركة الحارس للتعدين,AL- hariss mining company,سودانية,البحر الاحمر,هيا,بورتسودان- شرطة الشرطة,,محمد السراج على,123312999,محمد تاج السر,900040390,,تحت التأسيس
شركة السيداب للتعدين,AL- Seidab for mining,سودانية,البحر الاحمر,القنب والاوليب,بورتسودان السوق الكبير,,مصطفى احمد كوكو,912210199,صديق محمد على عمارة,912331187,Karkartransport@yahoo.com,تحت التأسيس
اعمال عمر عثمان للتعدين,اعمال عمر عثمان للتعدين,سودانية,البحر الاحمر,اربعات,بورتسودان,,الخليفة الكامل الخليفة,0903331200 - 0112553200,ابو عاقلة عوض ابو عاقلة,912317030,Khaliefaalkamel@gmail.com,تحت التأسيس
 بتنوس انترناشونال سيرفس المحدودة, بتنوس انترناشونال سيرفس المحدودة,سودانية,البحر الاحمر,اربعات,الخرطوم المنشية جوار السفارة الصينية,,محمد عوض السيد احمد,912328516,محمد عوض احمد,123191300,,تحت التأسيس
شركة سودامين المحدودة,,سودانية,جنوب كردفان,الليرى,,,,,,,,
تانسي للتعدين المحدودة,,سودانية,جنوب كردفان,التضامن,,,,,,,,
الاجلال العالمية المحدودة,,سودانية,جنوب كردفان,,,,,,,,,
شركة سبروزا للاعمال المتقدمة المحدودة,,سودانية,جنوب كردفان,قدير,,,,,,,,
شركة المسار العالمية للخدمات والتعدين المحدودة,,سودانية,جنوب كردفان,قدير,,,,,,,,
شركة كنسودا للتعدين,,سودانية,جنوب كردفان,قدير,,,,,,,,
شركة فاتور للاستثمار المحدودة,,سودانية,جنوب كردفان,الليرى,,,,,,,,
شركة لام للاستثمار المحدودة,,سودانية,جنوب كردفان,كادقلى,,,,,,,,
شركة تنقلي المتحدة المحدودة,,سودانية,جنوب كردفان,الليرى,,,,,,,,
مبشرات لخدمات البترول,,سودانية,جنوب كردفان,,,,,,,,,
مشروع جبل عامر - الجنيد للانشطة المتعددة (سابقآ),,سودانية,شمال دارفور,كلبكابية,,,,,,,,
شركة شتكو للتجارة و التنمية المحدودة,,سودانية,شمال دارفور,ام كدادة,,,,,,,,
شركة إعمارللنظم المتطورة المحدودة,,سودانية,شمال دارفور,ام قوزين,,,,,,,,
شركة بانقا للتعدين,,سودانية,شمال دارفور,المالحة ,,,,,,,,
شركة حَسا للانشطة المتعددة المحدودة,,سودانية,جنوب كردفان,,,,,,,,,
الجنيد للأنشطة المتعددة (سنقو),,سودانية,جنوب كردفان,الردوم,,,,,,,,
شركة ترست للأعمال المتقدمة المحدودة,,سودانية,شمال دارفور,الملم,,,,,,,,
شركة هايتند للأنشطة المتعددة المحدودة,,سودانية,شمال دارفور,كاس,,,,,,,,
شركة اعمال هوب للتعدين,,سودانية,جنوب كردفان,الردوم,,,,,,,,
شركة بحر العرب للتعدين,,سودانية,جنوب كردفان,الردوم,,,,,,,,
